"","input.size.1","input.size.2","duration","grid.X","grid.y","block.x","block.y","registers.per.thread","static.smem","kernel","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","sm_cta_launched","multiprocessor_activity","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","global_store_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.double_precison_fma.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","control.flow_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","ecc_transactions","ecc_throughput","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle"
"2",256,0,4.7585e-05,1,1,16,1,36,1024,9,469144,256,240,1,2365,1299,510,256,16,15,33391,33388,1,6.89234,0.070834,0.015625,0.019276,0.018072,0,0.029517,0.018072,0.019276,7.595756,100,100,0.084088,2365,1.554817,1.196078,1.390625,1,1,610,356,16,15,0,76,35,2.939632,1.715588,0.045781,0.021083,341,330,1026,797,2600,0,0,0,0,0,120,1,1,1,2011,1480,0,7510,873,5192,1840,17,0.010241,0.001443,0,0.062255
"5",256,0,4.7617e-05,1,1,16,1,36,1024,9,469586,256,240,1,2365,1301,510,256,16,15,32983,32626,1,6.875631,0.073279,0.015625,0.01934,0.018132,0,0.027197,0.018132,0.01934,7.595756,100,100,0.084213,2365,1.556354,1.196078,1.390625,1,1,610,356,16,15,0,82,31,2.949409,1.721294,0.04956,0.018736,341,330,1027,797,2600,0,0,0,0,0,120,1,1,1,2002,1480,0,7510,873,5192,1840,11,0.006648256,0.001442,0,0.062316
"8",256,0,4.8321e-05,1,1,16,1,36,1024,9,476840,256,240,1,2365,1306,510,256,16,15,31718,32586,1,6.918883,0.072577,0.015625,0.019439,0.018224,0,0.02855,0.018224,0.019439,7.595756,100,100,0.082747,2365,1.529159,1.196078,1.390625,1,1,610,356,16,15,0,54,37,2.964378,1.73003,0.032803,0.022476,341,330,1026,797,2600,0,0,0,0,0,120,1,1,1,2001,1480,0,7510,873,5192,1840,17,0.010327,0.00142,0,0.061166
"11",256,0,4.6433e-05,1,1,16,1,36,1024,9,476021,256,240,1,2365,1296,510,256,16,15,33337,33006,1,6.917552,0.071654,0.015625,0.019221,0.01802,0,0.028232,0.01802,0.019221,7.595756,100,100,0.082541,2365,1.524492,1.196078,1.390625,1,1,610,356,16,15,0,80,40,2.931278,1.710713,0.048054,0.024027,341,330,1025,797,2600,0,0,0,0,0,120,1,1,1,2008,1480,0,7510,873,5192,1840,17,0.010211,0.001422,0,0.06098
"14",256,0,4.7074e-05,1,1,16,1,36,1024,9,477542,256,240,1,2365,1307,510,256,16,15,32925,33226,1,6.894682,0.07161,0.015625,0.019291,0.018086,0,0.028334,0.018086,0.019291,7.595756,100,100,0.082764,2365,1.530752,1.196078,1.390625,1,1,610,356,16,15,0,117,30,2.941951,1.716942,0.070534,0.018086,341,330,1025,797,2600,0,0,0,0,0,120,1,1,1,2011,1480,0,7510,873,5192,1840,9,0.005425728,0.001418,0,0.061291
"17",256,0,4.8289e-05,1,1,16,1,36,1024,9,476216,256,240,1,2365,1303,510,256,16,15,32292,33262,1,6.918499,0.071104,0.015625,0.01934,0.018131,0,0.028406,0.018131,0.01934,7.595756,100,100,0.082709,2365,1.528212,1.196078,1.390625,1,1,610,356,16,15,0,58,40,2.949349,1.721259,0.035054,0.024175,341,330,1026,797,2600,0,0,0,0,0,120,1,1,1,2017,1480,0,7510,873,5192,1840,15,0.009065621,0.001422,0,0.061128
"20",256,0,4.8418e-05,1,1,16,1,36,1024,9,460642,256,240,1,2365,1304,510,256,16,15,32975,32922,1,6.890601,0.071836,0.015625,0.019358,0.018149,0,0.028433,0.018149,0.019358,7.595756,100,100,0.085757,2365,1.585489,1.196078,1.390625,1,1,610,356,16,15,0,82,35,2.952162,1.722901,0.049606,0.021173,341,330,1028,797,2600,0,0,0,0,0,120,1,1,1,2011,1480,0,7510,873,5192,1840,15,0.00907427,0.00147,0,0.06342
"23",256,0,4.7905e-05,1,1,16,1,36,1024,9,476918,256,240,1,2365,1307,510,256,16,15,32988,32984,1,6.919219,0.071701,0.015625,0.01924,0.018038,0,0.028259,0.018038,0.01924,7.595756,100,100,0.082639,2365,1.526561,1.196078,1.390625,1,1,610,356,16,15,0,144,43,2.934175,1.712404,0.086582,0.025854,341,330,1026,797,2600,0,0,0,0,0,120,1,1,1,2015,1480,0,7510,873,5192,1840,15,0.009018981,0.00142,0,0.061062
"26",256,0,4.7394e-05,1,1,16,1,36,1024,9,476450,256,240,1,2365,1299,510,256,16,15,32944,33040,1,6.919509,0.071582,0.015625,0.019281,0.018076,0,0.028319,0.018076,0.019281,7.595756,100,100,0.082535,2365,1.525722,1.196078,1.390625,1,1,610,356,16,15,0,128,32,2.940404,1.716039,0.077125,0.019281,341,330,1028,797,2600,0,0,0,0,0,120,1,1,1,2012,1480,0,7510,873,5192,1840,17,0.010243,0.001421,0,0.06109
"29",256,0,4.8289e-05,1,1,16,1,36,1024,9,472264,256,240,1,2365,1294,510,256,16,15,33205,32974,1,6.911389,0.071723,0.015625,0.019467,0.01825,0,0.028592,0.01825,0.019467,7.595756,100,100,0.083119,2365,1.535692,1.196078,1.390625,1,1,610,356,16,15,0,110,33,2.968674,1.732538,0.066917,0.020075,341,330,1027,797,2600,0,0,0,0,0,120,1,1,1,2005,1480,0,7510,873,5192,1840,17,0.010342,0.001434,0,0.061489
"32",256,0,4.6561e-05,1,1,16,1,36,1024,9,460304,256,240,1,2365,1301,510,256,16,15,31707,31708,1,6.890881,0.071645,0.015625,0.019462,0.018246,0,0.028585,0.018246,0.019462,7.595756,100,100,0.085879,2365,1.587377,1.196078,1.390625,1,1,610,356,16,15,0,80,36,2.968007,1.732149,0.048656,0.021895,341,330,1025,797,2600,0,0,0,0,0,120,1,1,1,2014,1480,0,7510,873,5192,1840,15,0.009122973,0.001471,0,0.063558
"35",256,0,4.7873e-05,1,1,16,1,36,1024,9,467480,256,240,1,2365,1303,510,256,16,15,32265,32266,1,6.904039,0.072393,0.015625,0.019296,0.01809,0,0.028341,0.01809,0.019296,7.595756,100,100,0.084369,2365,1.558482,1.196078,1.390625,1,1,610,356,16,15,0,110,31,2.942605,1.717324,0.066329,0.018693,341,330,1027,797,2600,0,0,0,0,0,120,1,1,1,2012,1480,0,7510,873,5192,1840,12,0.007235914,0.001448,0,0.062401
"38",256,0,4.6337e-05,1,1,16,1,36,1024,9,468338,256,240,1,2365,1302,510,256,16,15,32337,32932,1,6.904629,0.071996,0.015625,0.019191,0.017992,0,0.028187,0.017992,0.019191,7.595756,100,100,0.084114,2365,1.554721,1.196078,1.390625,1,1,610,356,16,15,0,64,36,2.926676,1.708028,0.038383,0.02159,341,330,1026,797,2600,0,0,0,0,0,120,1,1,1,2007,1480,0,7510,873,5192,1840,16,0.00959566,0.001446,0,0.062189
"41",256,0,4.8706e-05,1,1,16,1,36,1024,9,476814,256,240,1,2365,1305,510,256,16,15,32227,32284,1,6.920309,0.073258,0.015625,0.019397,0.018184,3.103461,0.028489,0.018184,0.019397,7.595756,100,100,0.082704,2365,1.528169,1.196078,1.390625,1,1,610,356,16,15,5,178,35,2.957987,1.7263,0.107894,0.021215,341,330,1025,797,2600,0,0,0,0,0,120,1,1,1,2018,1480,0,7510,873,5192,1840,21,0.012729,0.00142,0,0.061187
"44",256,0,4.5793e-05,1,1,16,1,36,1024,9,477178,256,240,1,2365,1296,510,256,16,15,31737,32292,1,6.853208,0.073238,0.015625,0.019294,0.018088,0,0.028338,0.018088,0.019294,7.595756,100,100,0.082961,2365,1.532781,1.196078,1.390625,1,1,610,356,16,15,0,56,37,2.942308,1.71715,0.033764,0.022308,341,330,1028,797,2600,0,0,0,0,0,120,1,1,1,2005,1480,0,7510,873,5192,1840,17,0.01025,0.001419,0,0.061311
"47",256,0,4.6881e-05,1,1,16,1,36,1024,9,459394,256,240,1,2365,1295,510,256,16,15,31722,31730,1,6.905184,0.071928,0.015625,0.019233,0.018031,0,0.028249,0.018031,0.019233,7.595756,100,100,0.085461,2365,1.578557,1.196078,1.390625,1,1,610,356,16,15,0,78,39,2.933051,1.711748,0.046881,0.02344,341,330,1027,797,2600,0,0,0,0,0,120,1,1,1,2011,1480,0,7510,873,5192,1840,16,0.00961656,0.001474,0,0.063142
"50",512,0,4.7617e-05,1,1,16,1,36,1024,9,466323,256,240,1,2365,1294,510,256,16,15,32220,33506,1,6.865627,0.070586,0.015625,0.018892,0.017712,0.038966,0.027748,0.017712,0.018892,7.595756,100,100,0.084583,2365,1.5625,1.196078,1.390625,1,1,610,356,16,15,66,56,34,2.881106,1.681432,0.033062,0.020073,341,330,1029,797,2600,0,0,0,0,0,120,1,1,1,2010,1480,0,7510,873,5192,1840,40,0.023616,0.001452,0,0.0625
