"","input.size.1","input.size.2","duration","grid.X","grid.y","block.x","block.y","registers.per.thread","static.smem","kernel","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","inst_issued2","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","sm_cta_launched","multiprocessor_activity","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","global_store_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.double_precison_fma.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","control.flow_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","ecc_transactions","ecc_throughput","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle"
"14483",6400,0,3.1424e-05,1,1,16,1,36,1024,9,291138,256,240,1,2365,1349,693,510,256,16,15,33012,33076,1,11.338953,0.071641,0.015625,0.030003,0.028128,0.081571,0.028128,0.028128,0.030003,7.595756,100,100,0.082849,2365,1.546407,1.196078,1.390625,1,1,610,356,16,15,87,58,31,4.575453,2.670264,0.05438,0.029065,330,613,1027,967,2600,0,0,0,0,0,120,1,1,1,2042,1480,0,7510,873,5192,1840,0,0,0.002326,0,0.061856
"19187",7168,0,3.1488e-05,1,1,16,1,36,1024,9,281640,256,240,1,2365,1342,692,510,256,16,15,31670,32862,1,11.251953,0.074629,0.015625,0.030092,0.028211,0.036675,0.028211,0.028211,0.030092,7.595756,100,100,0.086021,2365,1.604607,1.196078,1.390625,1,1,610,356,16,15,39,108,35,4.589024,2.678184,0.10156,0.032913,330,613,1027,967,2600,0,0,0,0,0,120,1,1,1,2034,1480,0,7510,873,5192,1840,0,0,0.002404,0,0.064184
"8114",4608,0,3.1328e-05,1,1,16,1,36,1024,9,281080,256,240,1,2365,1340,692,510,256,16,15,32693,32694,1,11.269745,0.07466,0.015625,0.030092,0.028211,0.036675,0.028211,0.028211,0.030092,7.595756,100,100,0.085993,2365,1.603687,1.196078,1.390625,1,1,610,356,16,15,39,56,39,4.589024,2.678184,0.052661,0.036675,330,613,1027,967,2600,0,0,0,0,0,120,1,1,1,2032,1480,0,7510,873,5192,1840,0,0,0.002409,0,0.064147
"19100",7168,0,3.1328e-05,1,1,16,1,36,1024,9,281168,256,240,1,2365,1340,692,510,256,16,15,31703,31804,1,11.266574,0.074657,0.015625,0.030123,0.028241,0.036713,0.028241,0.028241,0.030123,7.595756,100,100,0.08599,2365,1.603637,1.196078,1.390625,1,1,610,356,16,15,39,58,31,4.593807,2.680976,0.054599,0.029182,330,613,1029,967,2600,0,0,0,0,0,120,1,1,1,2032,1480,0,7510,873,5192,1840,0,0,0.002408,0,0.064145
"6092",4096,0,3.1552e-05,1,1,16,1,36,1024,9,281632,256,240,1,2365,1346,692,510,256,16,15,32947,32878,1,11.246591,0.074667,0.015625,0.030065,0.028186,0.036642,0.028186,0.028186,0.030065,7.595756,100,100,0.086191,2365,1.608575,1.196078,1.390625,1,1,610,356,16,15,39,80,43,4.584973,2.67582,0.075163,0.0404,330,613,1028,967,2600,0,0,0,0,0,120,1,1,1,2038,1480,0,7510,873,5192,1840,0,0,0.002404,0,0.064343
"15809",6656,0,3.1423e-05,1,1,16,1,36,1024,9,282142,256,240,1,2365,1340,692,510,256,16,15,31741,31710,1,11.240085,0.074575,0.015625,0.030068,0.028189,0.036646,0.028189,0.028189,0.030068,7.595756,100,100,0.085895,2365,1.601867,1.196078,1.390625,1,1,610,356,16,15,39,78,31,4.585406,2.676073,0.073291,0.029129,330,613,1028,967,2600,0,0,0,0,0,120,1,1,1,2032,1480,0,7510,873,5192,1840,0,0,0.0024,0,0.064075
"15773",6656,0,3.1584e-05,1,1,16,1,36,1024,9,289834,256,240,1,2365,1342,692,510,256,16,15,31732,31732,1,11.308887,0.072154,0.015625,0.02998,0.028107,0.081509,0.028107,0.028107,0.02998,7.595756,100,100,0.083168,2365,1.551393,1.196078,1.390625,1,1,610,356,16,15,87,78,31,4.572,2.668249,0.073077,0.029043,330,613,1028,967,2600,0,0,0,0,0,120,1,1,1,2034,1480,0,7510,873,5192,1840,0,0,0.002336,0,0.062056
"19664",7424,0,3.1616e-05,1,1,16,1,36,1024,9,281464,256,240,1,2365,1339,692,510,256,16,15,31746,33186,1,11.259699,0.074625,0.015625,0.030057,0.028178,0.036632,0.028178,0.028178,0.030057,7.595756,100,100,0.085921,2365,1.602139,1.196078,1.390625,1,1,610,356,16,15,39,102,35,4.583672,2.675061,0.095806,0.032875,330,613,1029,967,2600,0,0,0,0,0,120,1,1,1,2031,1480,0,7510,873,5192,1840,0,0,0.002406,0,0.064086
"20120",7424,0,3.1616e-05,1,1,16,1,36,1024,9,292000,256,240,1,2365,1340,692,510,256,16,15,31805,32936,1,11.281507,0.071793,0.015625,0.030001,0.028126,0.081565,0.028126,0.028126,0.030001,7.595756,100,100,0.082691,2365,1.542104,1.196078,1.390625,1,1,610,356,16,15,87,78,31,4.575165,2.670096,0.073128,0.029064,330,613,1029,967,2600,0,0,0,0,0,120,1,1,1,2032,1480,0,7510,873,5192,1840,0,0,0.002319,0,0.061684
"7994",4608,0,3.1584e-05,1,1,16,1,36,1024,9,284024,256,240,1,2365,1340,692,510,256,16,15,32745,32916,1,11.158212,0.074625,0.015625,0.030101,0.02822,0.036686,0.02822,0.02822,0.030101,7.595756,100,100,0.085952,2365,1.602928,1.196078,1.390625,1,1,610,356,16,15,39,58,39,4.590472,2.67903,0.054559,0.036686,330,613,1026,967,2600,0,0,0,0,0,120,1,1,1,2032,1480,0,7510,873,5192,1840,0,0,0.002384,0,0.064117
"25085",8192,0,3.1455e-05,1,1,16,1,36,1024,9,281366,256,240,1,2365,1343,692,510,256,16,15,31697,32880,1,11.263621,0.074625,0.015625,0.030103,0.028222,0.081843,0.028222,0.028222,0.030103,7.595756,100,100,0.086047,2365,1.605295,1.196078,1.390625,1,1,610,356,16,15,87,54,43,4.590762,2.679199,0.050799,0.040451,330,613,1027,967,2600,0,0,0,0,0,120,1,1,1,2035,1480,0,7510,873,5192,1840,0,0,0.002406,0,0.064212
"7226",4352,0,3.1008e-05,1,1,16,1,36,1024,9,289530,256,240,1,2365,1346,693,510,256,16,15,31638,31646,1,11.30211,0.072273,0.015625,0.030091,0.02821,0.119424,0.02821,0.02821,0.030091,7.595756,100,100,0.083489,2365,1.557773,1.196078,1.390625,1,1,610,356,16,15,127,62,39,4.588879,2.6781,0.058301,0.036673,330,613,1026,967,2600,0,0,0,0,0,120,1,1,1,2039,1480,0,7510,873,5192,1840,0,0,0.002339,0,0.062311
"16241",6656,0,3.1327e-05,1,1,16,1,36,1024,9,292390,256,240,1,2365,1340,692,510,256,16,15,33084,32888,1,11.315024,0.071485,0.015625,0.029959,0.028086,0.08894,0.028086,0.028086,0.029959,7.595756,100,100,0.082336,2365,1.535485,1.196078,1.390625,1,1,610,356,16,15,95,98,43,4.568697,2.666322,0.091748,0.040257,330,613,1027,967,2600,0,0,0,0,0,120,1,1,1,2032,1480,0,7510,873,5192,1840,0,0,0.002316,0,0.061419
"2228",2560,0,3.3952e-05,1,1,16,1,36,1024,9,283292,256,240,1,2365,1347,692,510,256,16,15,31752,31728,1,11.196222,0.074563,0.015625,0.029969,0.028096,0.088971,0.028096,0.028096,0.029969,7.595756,100,100,0.086103,2365,1.607132,1.196078,1.390625,1,1,610,356,16,15,95,110,31,4.570276,2.667243,0.103019,0.029032,330,613,1026,967,2600,0,0,0,0,0,120,1,1,1,2039,1480,0,7510,873,5192,1840,0,0,0.00239,0,0.064285
